EC_PL                | 16 | 0 | American | ATCM_PL_STORAGE.DBF  | ATCM_PL_STORAGE      | User | Simulation
FUT_NATCC            | 16 | 0 | American | ATCM_PL_STORAGE.DBF  | ATCM_PL_STORAGE      | User | Simulation
FUT_SEK              | 16 | 0 | American | ATCM_PL_STORAGE.DBF  | ATCM_PL_STORAGE      | User | Simulation
MV_NATCCY            | 16 | 0 | American | ATCM_PL_STORAGE.DBF  | ATCM_PL_STORAGE      | User | Simulation
MV_SEK               | 16 | 0 | American | ATCM_PL_STORAGE.DBF  | ATCM_PL_STORAGE      | User | Simulation
PAST_NATC            | 16 | 0 | American | ATCM_PL_STORAGE.DBF  | ATCM_PL_STORAGE      | User | Simulation
PAST_SEK             | 16 | 0 | American | ATCM_PL_STORAGE.DBF  | ATCM_PL_STORAGE      | User | Simulation
PL_NATCCY            | 16 | 0 | American | ATCM_PL_STORAGE.DBF  | ATCM_PL_STORAGE      | User | Simulation
PL_SEK               | 16 | 0 | American | ATCM_PL_STORAGE.DBF  | ATCM_PL_STORAGE      | User | Simulation
FAMILY               | 16 | 0 | Char | ATCM_PL_STORAGE.DBF  | ATCM_PL_STORAGE      | User | Simulation
GROUP                | 16 | 0 | Char | ATCM_PL_STORAGE.DBF  | ATCM_PL_STORAGE      | User | Simulation
PORTFOLIO            | 16 | 0 | Char | ATCM_PL_STORAGE.DBF  | ATCM_PL_STORAGE      | User | Simulation
TRADE_NUM            | 16 | 0 | Numeric | ATCM_PL_STORAGE.DBF  | ATCM_PL_STORAGE      | User | Simulation
PL_INSTRU            | 21 | 0 | Char | ATCM_PL_STORAGE.DBF  | ATCM_PL_STORAGE      | User | Simulation
PRICE                | 12 | 2 | Numeric | ATCM_PL_STORAGE.DBF  | ATCM_PL_STORAGE      | User | Simulation
H_INTPARTY           | 1 | 0 | Char | CANCEL_AMEND_TRN.REP | DYN_CANCEL_AMEND_TRN | User Additional | DYN_TRNRP_PL
TP_BUY               | 1 | 0 | Char | CANCEL_AMEND_TRN.REP | DYN_CANCEL_AMEND_TRN | User Additional | DYN_TRNRP_PL
CNTLIMPDT2           | 8 | 0 | Date | CANCEL_AMEND_TRN.REP | DYN_CANCEL_AMEND_TRN | User Additional | DYN_TRNRP_PL
TP_DTEEXP            | 8 | 0 | Date | CANCEL_AMEND_TRN.REP | DYN_CANCEL_AMEND_TRN | User Additional | DYN_TRNRP_PL
TP_DTETRN            | 8 | 0 | Date | CANCEL_AMEND_TRN.REP | DYN_CANCEL_AMEND_TRN | User Additional | DYN_TRNRP_PL
CNTLIMPCL2           | 10 | 0 | Char | CANCEL_AMEND_TRN.REP | DYN_CANCEL_AMEND_TRN | User Additional | DYN_TRNRP_PL
TP_STATUS2           | 10 | 0 | Char | CANCEL_AMEND_TRN.REP | DYN_CANCEL_AMEND_TRN | User Additional | DYN_TRNRP_PL
NB                   | 10 | 0 | Numeric | CANCEL_AMEND_TRN.REP | DYN_CANCEL_AMEND_TRN | User Additional | DYN_TRNRP_PL
NB_EXT               | 10 | 0 | Numeric | CANCEL_AMEND_TRN.REP | DYN_CANCEL_AMEND_TRN | User Additional | DYN_TRNRP_PL
TP_PFOLIO            | 15 | 0 | Char | CANCEL_AMEND_TRN.REP | DYN_CANCEL_AMEND_TRN | User Additional | DYN_TRNRP_PL
H_MKT_OP             | 20 | 0 | Char | CANCEL_AMEND_TRN.REP | DYN_CANCEL_AMEND_TRN | User Additional | DYN_TRNRP_PL
INSTRUMENT           | 35 | 0 | Char | CANCEL_AMEND_TRN.REP | DYN_CANCEL_AMEND_TRN | User Additional | DYN_TRNRP_PL
TP_CNTRP             | 35 | 0 | Char | CANCEL_AMEND_TRN.REP | DYN_CANCEL_AMEND_TRN | User Additional | DYN_TRNRP_PL
TP_IPAY              | 16 | 2 | American | CANCEL_AMEND_TRN.REP | DYN_CANCEL_AMEND_TRN | User Additional | DYN_TRNRP_PL
TP_NOMINAL           | 19 | 2 | American | CANCEL_AMEND_TRN.REP | DYN_CANCEL_AMEND_TRN | User Additional | DYN_TRNRP_PL
TP_LQTY2             | 24 | 8 | American | CANCEL_AMEND_TRN.REP | DYN_CANCEL_AMEND_TRN | User Additional | DYN_TRNRP_PL
F_OBSCOM             | 1 | 0 | Char | CASH_ARCH.REP        | DYN_CASH_ARCH        | Murex | DYN_TRNRP_CS
G_F_BRK              | 1 | 0 | Numeric | CASH_ARCH.REP        | DYN_CASH_ARCH        | Murex | DYN_TRNRP_CS
ACC_CUR              | 3 | 0 | Char | CASH_ARCH.REP        | DYN_CASH_ARCH        | Murex | DYN_TRNRP_CS
F_CURRENCY           | 3 | 0 | Char | CASH_ARCH.REP        | DYN_CASH_ARCH        | Murex | DYN_TRNRP_CS
USER_CUR             | 3 | 0 | Char | CASH_ARCH.REP        | DYN_CASH_ARCH        | Murex | DYN_TRNRP_CS
TRN_GTYPE            | 3 | 0 | Numeric | CASH_ARCH.REP        | DYN_CASH_ARCH        | Murex | DYN_TRNRP_CS
TRN_FMLY             | 5 | 0 | Char | CASH_ARCH.REP        | DYN_CASH_ARCH        | Murex | DYN_TRNRP_CS
TRN_GRP              | 5 | 0 | Char | CASH_ARCH.REP        | DYN_CASH_ARCH        | Murex | DYN_TRNRP_CS
TRN_TYPE             | 5 | 0 | Char | CASH_ARCH.REP        | DYN_CASH_ARCH        | Murex | DYN_TRNRP_CS
F_VALUE              | 8 | 0 | Date | CASH_ARCH.REP        | DYN_CASH_ARCH        | Murex | DYN_TRNRP_CS
F_TYPE               | 10 | 0 | Char | CASH_ARCH.REP        | DYN_CASH_ARCH        | Murex | DYN_TRNRP_CS
TP_TYPE              | 10 | 0 | Char | CASH_ARCH.REP        | DYN_CASH_ARCH        | Murex | DYN_TRNRP_CS
TP_PFOLIO            | 15 | 0 | Char | CASH_ARCH.REP        | DYN_CASH_ARCH        | Murex | DYN_TRNRP_CS
PL_INSCUR            | 20 | 0 | Char | CASH_ARCH.REP        | DYN_CASH_ARCH        | Murex | DYN_TRNRP_CS
RSKSECTION           | 20 | 0 | Char | CASH_ARCH.REP        | DYN_CASH_ARCH        | Murex | DYN_TRNRP_CS
PL_KEY1              | 30 | 0 | Char | CASH_ARCH.REP        | DYN_CASH_ARCH        | Murex | DYN_TRNRP_CS
TP_DSCTYPE           | 30 | 0 | Char | CASH_ARCH.REP        | DYN_CASH_ARCH        | Murex | DYN_TRNRP_CS
INSTRUMENT           | 35 | 0 | Char | CASH_ARCH.REP        | DYN_CASH_ARCH        | Murex | DYN_TRNRP_CS
TP_CNTRP             | 35 | 0 | Char | CASH_ARCH.REP        | DYN_CASH_ARCH        | Murex | DYN_TRNRP_CS
