TP_DTEFLWF           | 8 | 0 | Date | CSA.REP              | CSA                  | User | DYN_TRNRP_PL        
TP_DTETRN            | 8 | 0 | Date | CSA.REP              | CSA                  | User | DYN_TRNRP_PL        
TP_ENTITY            | 10 | 0 | Char | CSA.REP              | CSA                  | User | DYN_TRNRP_PL        
TP_IPAYDTE           | 8 | 0 | Date | CSA.REP              | CSA                  | User | DYN_TRNRP_PL        
TP_IQTY              | 24 | 8 | American | CSA.REP              | CSA                  | User | DYN_TRNRP_PL        
TP_QTYEQ             | 24 | 8 | American | CSA.REP              | CSA                  | User | DYN_TRNRP_PL        
TP_STAT32            | 10 | 0 | Char | CSA.REP              | CSA                  | User | DYN_TRNRP_PL        
TRN_FMLY             | 5 | 0 | Char | CSA.REP              | CSA                  | User | DYN_TRNRP_PL        
TRN_GRP              | 5 | 0 | Char | CSA.REP              | CSA                  | User | DYN_TRNRP_PL        
TRN_TYPE             | 5 | 0 | Char | CSA.REP              | CSA                  | User | DYN_TRNRP_PL        
TP_DSCTYPE           | 30 | 0 | Char | CS_C.REP             | DYN_CS_C             | Murex | DYN_TRNRP_CS        
TP_PFOLIO            | 15 | 0 | Char | CS_C.REP             | DYN_CS_C             | Murex | DYN_TRNRP_CS        
TRN_FMLY             | 5 | 0 | Char | CS_C.REP             | DYN_CS_C             | Murex | DYN_TRNRP_CS        
TRN_GRP              | 5 | 0 | Char | CS_C.REP             | DYN_CS_C             | Murex | DYN_TRNRP_CS        
TRN_GTYPE            | 3 | 0 | Numeric | CS_C.REP             | DYN_CS_C             | Murex | DYN_TRNRP_CS        
TRN_TYPE             | 5 | 0 | Char | CS_C.REP             | DYN_CS_C             | Murex | DYN_TRNRP_CS        
