PRICE                | 24 | 6 | American | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
QUANTITY             | 24 | 6 | American | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
REQ_FX_RT            | 24 | 6 | American | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
RMN_AMNT             | 24 | 6 | American | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
RQDET_MTA            | 24 | 6 | American | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
RQDET_THLD           | 24 | 6 | American | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
RQDET_UNIT           | 24 | 6 | American | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
TTL_AMNT             | 24 | 6 | American | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
TTL_SUBVAL           | 24 | 6 | American | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
TTL_VAL_AL           | 24 | 6 | American | COL_EXEC_ALC_NEW.REP | DYN_COLL_EXCHANGE    | User | 51
