MV_NFFP1             | 19 | 2 | American | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
MV_NFFP2             | 19 | 2 | American | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
MV_NFMV0             | 19 | 2 | American | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
MV_NFMV1             | 19 | 2 | American | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
S_DELTA1             | 19 | 5 | American | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
S_DELTA2             | 19 | 5 | American | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_AVQTY0            | 24 | 8 | American | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_AVQTY1            | 24 | 8 | American | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
H_OBAR_RB1           | 20 | 2 | Numeric | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
H_SE_TRDCL           | 10 | 0 | Char | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
H_SRC                | 4 | 0 | Char | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
H_SRC_NB             | 10 | 0 | Numeric | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
H_SRDTE              | 8 | 0 | Date | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_AVQTY2            | 24 | 8 | American | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TRN_TYPE             | 5 | 0 | Char | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
H_SE_TCQ_L           | 10 | 0 | Char | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
H_SRTME              | 12 | 0 | Char | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
H_SRTRADER           | 20 | 0 | Char | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
H_SR_MMR             | 1 | 0 | Char | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
H_STDEPO             | 1 | 0 | Char | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_LQTYS0            | 24 | 8 | American | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_LQTY2             | 24 | 8 | American | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
TP_LQTYS1            | 24 | 8 | American | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
PL_INSCUR            | 20 | 0 | Char | ERM_MV_FO.REP        | MLC_TRNRP_MV         | User Additional | DYN_TRNRP_MV        
